Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_551,POINT (10805 14607),10805,14607,22.26053974424877,69.23921472693394,20.0,30.0,Tugs_ship,284
target_552,POINT (10814 14618),10814,14618,22.259644494895774,69.23819060119818,50.0,40.0,Tugs_ship,285
target_554,POINT (18187 14605),18187,14605,22.382781759744407,68.53486480794463,240.0,130.0,Passenger_ship,286
target_555,POINT (18670 14715),18670,14715,22.380692015775853,68.48673311233885,40.0,40.0,Tugs_ship,287
target_556,POINT (16827 15004),16827,15004,22.32451300356892,68.65745283671062,180.0,120.0,Passenger_ship,288
target_557,POINT (13613 15372),13613,15372,22.238310969978183,68.95731707305279,40.0,40.0,Tugs_ship,289
target_560,POINT (19235 15053),19235,15053,22.359433072406297,68.42671365909696,30.0,40.0,Tugs_ship,291
target_562,POINT (19444 15405),19444,15405,22.331172091401204,68.40035712093886,40.0,30.0,Tugs_ship,292
target_563,POINT (12888 15943),12888,15943,22.17479706998045,69.0159475230791,30.0,20.0,Fishing_Ship,293
target_566,POINT (19616 16497),19616,16497,22.2355305405243,68.3642595835846,30.0,20.0,Fishing_Ship,295
